device_index,device_name,trial,openMs,startMs,firstSampleMs,error
0,"Microsoft Sound Mapper - Input",0,26.8,0.6,68.7,""
0,"Microsoft Sound Mapper - Input",1,18.3,0.4,59.0,""
0,"Microsoft Sound Mapper - Input",2,18.0,0.4,58.3,""
0,"Microsoft Sound Mapper - Input",3,18.2,0.4,57.0,""
0,"Microsoft Sound Mapper - Input",4,18.1,0.4,56.3,""
0,"Microsoft Sound Mapper - Input",5,17.7,0.4,55.3,""
0,"Microsoft Sound Mapper - Input",6,17.4,0.4,57.7,""
0,"Microsoft Sound Mapper - Input",7,17.4,0.4,56.0,""
0,"Microsoft Sound Mapper - Input",8,18.4,0.4,58.7,""
0,"Microsoft Sound Mapper - Input",9,18.4,0.4,57.0,""
0,"Microsoft Sound Mapper - Input",10,17.6,0.4,55.2,""
0,"Microsoft Sound Mapper - Input",11,17.6,0.4,57.6,""
0,"Microsoft Sound Mapper - Input",12,17.8,0.4,55.6,""
0,"Microsoft Sound Mapper - Input",13,18.5,0.4,57.5,""
0,"Microsoft Sound Mapper - Input",14,17.6,0.4,57.0,""
0,"Microsoft Sound Mapper - Input",15,17.3,0.4,55.2,""
0,"Microsoft Sound Mapper - Input",16,17.5,0.4,58.8,""
0,"Microsoft Sound Mapper - Input",17,18.1,0.4,57.6,""
0,"Microsoft Sound Mapper - Input",18,17.6,0.4,56.0,""
0,"Microsoft Sound Mapper - Input",19,17.2,0.4,58.2,""
1,"Microphone (streamplify Mic.)",0,16.5,0.2,55.8,""
1,"Microphone (streamplify Mic.)",1,17.7,0.2,55.1,""
1,"Microphone (streamplify Mic.)",2,17.8,0.3,56.7,""
1,"Microphone (streamplify Mic.)",3,16.9,0.2,54.2,""
1,"Microphone (streamplify Mic.)",4,16.5,0.2,56.8,""
1,"Microphone (streamplify Mic.)",5,16.8,0.2,55.7,""
1,"Microphone (streamplify Mic.)",6,16.7,0.2,54.8,""
1,"Microphone (streamplify Mic.)",7,17.2,0.2,57.1,""
1,"Microphone (streamplify Mic.)",8,16.9,0.3,56.0,""
1,"Microphone (streamplify Mic.)",9,18.0,0.2,58.5,""
1,"Microphone (streamplify Mic.)",10,17.0,0.3,56.4,""
1,"Microphone (streamplify Mic.)",11,17.9,0.3,58.3,""
1,"Microphone (streamplify Mic.)",12,16.7,0.2,57.1,""
1,"Microphone (streamplify Mic.)",13,16.9,0.2,55.0,""
1,"Microphone (streamplify Mic.)",14,16.9,0.2,57.9,""
1,"Microphone (streamplify Mic.)",15,17.0,0.2,56.0,""
1,"Microphone (streamplify Mic.)",16,17.0,0.2,54.4,""
1,"Microphone (streamplify Mic.)",17,17.3,0.2,56.6,""
1,"Microphone (streamplify Mic.)",18,16.9,0.2,54.9,""
1,"Microphone (streamplify Mic.)",19,16.6,0.3,57.1,""
4,"Primary Sound Capture Driver",0,16.8,0.5,77.7,""
4,"Primary Sound Capture Driver",1,17.1,0.5,78.7,""
4,"Primary Sound Capture Driver",2,17.2,0.5,78.3,""
4,"Primary Sound Capture Driver",3,17.8,2.8,77.0,""
4,"Primary Sound Capture Driver",4,17.4,0.5,78.2,""
4,"Primary Sound Capture Driver",5,16.8,0.5,78.9,""
4,"Primary Sound Capture Driver",6,16.8,0.5,77.5,""
4,"Primary Sound Capture Driver",7,17.7,0.5,78.4,""
4,"Primary Sound Capture Driver",8,17.3,0.5,78.3,""
4,"Primary Sound Capture Driver",9,17.4,0.5,78.3,""
4,"Primary Sound Capture Driver",10,18.2,0.5,78.4,""
4,"Primary Sound Capture Driver",11,17.6,0.5,77.7,""
4,"Primary Sound Capture Driver",12,17.1,0.5,78.3,""
4,"Primary Sound Capture Driver",13,17.2,0.5,77.8,""
4,"Primary Sound Capture Driver",14,17.5,0.5,77.8,""
4,"Primary Sound Capture Driver",15,17.6,0.5,78.3,""
4,"Primary Sound Capture Driver",16,17.4,0.5,78.3,""
4,"Primary Sound Capture Driver",17,17.0,0.5,77.6,""
4,"Primary Sound Capture Driver",18,17.0,0.5,77.7,""
4,"Primary Sound Capture Driver",19,17.5,0.5,77.8,""
5,"Microphone (streamplify Mic.)",0,16.8,0.5,78.1,""
5,"Microphone (streamplify Mic.)",1,17.2,0.5,77.9,""
5,"Microphone (streamplify Mic.)",2,17.3,0.5,78.5,""
5,"Microphone (streamplify Mic.)",3,17.0,0.5,77.9,""
5,"Microphone (streamplify Mic.)",4,16.7,0.5,77.8,""
5,"Microphone (streamplify Mic.)",5,17.1,0.5,78.5,""
5,"Microphone (streamplify Mic.)",6,17.8,0.5,78.5,""
5,"Microphone (streamplify Mic.)",7,17.2,0.5,78.0,""
